Enter the location of the file list: f2016_cs8_a3.data.txt
('Concepcion  ', '22.814109015529727')
('Jeane  ', '51.53334418209406')
('Shalanda  ', '84.39576276128388')
('Sanjuana  ', '39.745043588519295')
('Kevin  ', '16.705068514181974')
('Ruthie  ', '50.49043184424844')
('Olen  ', '14.08383373588389')
('Morris  ', '49.804529476994205')
('Kory  ', '83.03832364181875')
('Glynis  ', '67.42416753245043')
('Shaniqua  ', '66.16417778586016')
('Shane  ', '32.77509753376386')
('Ashley  ', '96.6450203250176')
('Jerald  ', '86.47548423068233')
('Bobbie  ', '43.339975878269996')
('Evon  ', '89.72796838946728')
('Velva  ', '39.3875674313497')
('Coleen  ', '66.8279827213436')
('Quintin  ', '2.3107996022888155')
('Tanisha  ', '35.960454765715276')
('Jules  ', '58.10199065589997')
('Tameika  ', '26.34944498311492')
('Kendall  ', '86.10258614892639')
('Marquis  ', '59.679741076154144')
('Adah  ', '31.50460762163475')
('Selena  ', '87.70791336524356')
('Enrique  ', '97.40956726769673')
('Domenica  ', '53.4061162022812')
('Noel  ', '65.12497507692817')
('Bud  ', '35.37844876083279')
('Marnie  ', '93.05218310311595')
('Christen  ', '85.5911766319278')
('Candy  ', '54.35757870700603')
('Tomas  ', '59.21434607421947')
('Minnie  ', '70.74844623586964')
('Tarah  ', '95.05646317397168')
('Alejandrina  ', '60.37725262412048')
('Eura  ', '0.8707108250093687')
('Mee  ', '38.74047654431201')
('Annie  ', '51.193342220981286')
('Amado  ', '13.020546719654858')
('Allen  ', '74.5064002131142')
('Edwina  ', '6.032845778651385')
('Robin  ', '69.41558964256603')
('Annamae  ', '56.45741795111236')
('Pinkie  ', '31.034550343807698')
('Alysa  ', '98.35541444688721')
('Billy  ', '2.0419519890364946')
('Hillary  ', '12.643596512808198')
('Rufus  ', '43.94280988298834')
('Aisha  ', '0.47729033964430956')
('Mendy  ', '82.85835741315746')
('Shondra  ', '38.89724738482458')
('Maximo  ', '39.193668804758886')
('Hilaria  ', '29.73424212405058')
('Fidel  ', '50.778891797797456')
('Kyle  ', '18.8883705595669')
('Richelle  ', '47.41861591325751')
('Nieves  ', '63.07936078242031')
('Florentina  ', '82.05058536974799')
('Tenesha  ', '66.0868814808169')
('Clarita  ', '20.332494695149585')
('Celinda  ', '14.096468207563884')
('Joycelyn  ', '29.17107543924703')
('Ernesto  ', '87.53783972675097')
('Otto  ', '42.06997536334498')
('Leora  ', '41.522645456130846')
('Glynis  ', '48.44562320236005')
('Carisa  ', '58.8416846186406')
('Shasta  ', '43.26115519402879')
('Mozella  ', '83.50710504651651')
('Anika  ', '34.76438177192714')
('Ailene  ', '96.95515329186962')
('Willis  ', '11.512947804968343')
('Sherman  ', '43.63887531795051')
('Leona  ', '89.64533407871822')
('Alda  ', '2.2181691483591615')
('Randell  ', '64.7963363742878')
('Ariana  ', '71.87564904779859')
('Thomasena  ', '83.57927774570648')
('Julie  ', '48.2636808612843')
('Lyda  ', '69.80330804948346')
('Fannie  ', '97.6269229336445')
('Arden  ', '64.80236275056896')
('Ignacia  ', '42.17799543093677')
('Chris  ', '19.862217944044115')
('Tomi  ', '6.6166438939464385')
('Ronna  ', '34.247898637522525')
('Alison  ', '91.39133046916534')
('Antonietta  ', '86.73189891516006')
('Shani  ', '17.002096536282597')
('Jamison  ', '86.43569747495668')
('Garry  ', '56.729763283849735')
('Scot  ', '38.62703562164833')
('Jule  ', '15.156466766257392')
('Jake  ', '32.77618348463803')
('Ronda  ', '90.83401350664882')
('Lexie  ', '75.99489700734907')
('Sherill  ', '38.657740853586155')
('Leon  ', '92.4047208977261')
('isha  ', '95.51090068110514')
('Mendy  ', '62.686584853131144')
('Shondra  ', '26.27838918746299')
('Maximo  ', '91.75425471991319')
('Hilaria  ', '90.81636610608754')
('Fidel  ', '34.09785740067793')
('Kyle  ', '91.6688110174655')
('Richelle  ', '30.451836384429654')
('Nieves  ', '33.07931447025945')
('Florentina  ', '9.194820080801813')
('Tenesha  ', '2.7088053177392046')
('Clarita  ', '44.77892575415991')
('Celinda  ', '29.082788160025043')
('Joycelyn  ', '51.21291381150049')
('Ernesto  ', '11.34558104704807')
('Otto  ', '69.12301974457473')
('Leora  ', '65.19770462745402')
('Glynis  ', '89.95169104083318')
('Carisa  ', '38.02031956380816')
('Shasta  ', '5.086115498195721')
('Mozella  ', '60.594361603048064')
('Anika  ', '66.72414858684857')
('Ailene  ', '0.9475375207318226')
('Willis  ', '19.885731096552373')
('Sherman  ', '28.229450666618106')
('Leona  ', '2.185838890386882')
('Alda  ', '17.198337407971152')
('Randell  ', '71.24408552208578')
('Ariana  ', '17.242663563784298')
('Thomasena  ', '91.00579918728316')
('Julie  ', '60.225055907108725')
('Lyda  ', '52.3176905167504')
('Fannie  ', '6.9975447467758745')
('Arden  ', '33.578925858652354')
('Ignacia  ', '46.197177393665115')
('Chris  ', '98.48480047779665')
('Tomi  ', '65.77998127088172')
('Ronna  ', '21.329937829326674')
('Alison  ', '65.99294039699977')
('Antonietta  ', '50.65599706640699')
('Shani  ', '0.06246635217488361')
('Jamison  ', '13.06163840883129')
('Garry  ', '38.50114878158535')
('Scot  ', '7.082594892402383')
('Jule  ', '86.27320393622891')
('Jake  ', '57.55468872420428')
('Ronda  ', '59.5393090460033')
('Lexie  ', '35.17044429387742')
('Sherill  ', '56.669225209402704')
('Leon  ', '53.25525948250933')
('Georgeanna  ', '86.34180290737645')
('Kimberly  ', '22.52018747429807')
('Roland  ', '99.91761010374586')
('Una  ', '7.425748514450936')
('Son  ', '87.08793726058288')
('Nelson  ', '27.626678345158197')
('Beatris  ', '18.034744804019287')
('Cecila  ', '37.33208414021646')
('Brenton  ', '69.28711690800564')
('Dorthy  ', '55.29177712246499')
('Alma  ', '33.384305770764165')
('Celeste  ', '6.6208424105363655')
('Alleen  ', '68.2332349766058')
('Merna  ', '92.09344227112042')
('Mui  ', '25.900319156320982')
('Trevor  ', '35.67832597788898')
('Sophie  ', '12.89406902362542')
('Laquanda  ', '93.82171597082818')
('Anna  ', '4.703898368884141')
('Yaeko  ', '31.004834835823313')
('Melodee  ', '82.4408080419629')
('Johnathan  ', '62.32402153603943')
('Janean  ', '65.05650803832701')
('Elayne  ', '32.372246021810845')
('Shela  ', '22.492208674289593')
('Odelia  ', '84.95749124405174')
('Alba  ', '92.85700110098516')
('Lenora  ', '19.109425307963935')
('Corinna  ', '88.25569443119713')
('Larhonda  ', '58.03602312035772')
('Marylynn  ', '25.087649717252635')
('Clair  ', '34.10256896477314')
('Faith  ', '39.82107333045411')
('Shu  ', '71.82123571878518')
('Rosanne  ', '15.490969599050397')
('Saul  ', '54.97213704554199')
('Tory  ', '6.56146941172252')
('Madeleine  ', '15.556015915160303')
('Vivienne  ', '34.63696649910547')
('Frances  ', '60.37296742280366')
('Caprice  ', '91.18277043349924')
('Zulma  ', '25.359602127785365')
('Russell  ', '25.11858251626743')
('Felipa  ', '98.51181809795513')
('Santana  ', '3.2060658297813016')
('Michele  ', '73.47501913405833')
('Cherelle  ', '73.73557263176951')
('Mamie  ', '68.92395860138248')
('Chong  ', '18.28988331110817')
('Sharyl  ', '36.66289523599073')
('Angie  ', '68.89619055396682')
('Ela  ', '91.38889876784998')
('Angelyn  ', '66.38229422811833')
('Pasty  ', '10.354989159110517')
('Ara  ', '3.1792447099354137')
('Else  ', '57.039371323210005')
('Dorthea  ', '39.84384297819018')
('Venetta  ', '43.358804639628765')
('Elma  ', '15.252260237932747')
('Elisa  ', '23.31741228103462')
('Loreen  ', '92.46358994918026')
('Cheryl  ', '57.47534115254157')
('Felica  ', '76.47015186417197')
('Maryland  ', '86.00074852373419')
('Tamesha  ', '95.52312659229092')
('Perry  ', '44.45748094940747')
('Kenna  ', '63.099909047956125')
('Jolanda  ', '45.812688940919486')
('Ronda  ', '24.437170281279087')
('Trevor  ', '92.72729047104849')
('Michaela  ', '35.22824208638661')
('Portia  ', '80.91134248406348')
('Inez  ', '53.43209605601997')
('Meagan  ', '26.208468158079146')
('Aleisha  ', '8.976439906712198')
('Clarisa  ', '5.297059518085156')
('Jannette  ', '12.99197286366357')
('Yuki  ', '22.51665625907513')
('Linn  ', '45.87550645250092')
('Catina  ', '9.99513907494517')
('Arletha  ', '12.886012843320415')
('Rasheeda  ', '68.56779933274393')
('Troy  ', '76.03752287171916')
('Jaime  ', '80.06060046126916')
('Lavinia  ', '45.26526576816921')
('Jack  ', '78.34077691654097')
('Judi  ', '7.8316045879618486')
('Sammy  ', '88.31684774607153')
('Alex  ', '0.057889446920667')
('Eboni  ', '88.47639299503706')
('Felicidad  ', '97.82602692067279')
('Angila  ', '29.455471578368442')
('Maire  ', '54.61974791671287')
('Larhonda  ', '43.395730676354994')
('Pamella  ', '34.9861233809025')
('Chi  ', '70.1427407026167')
('Eloisa  ', '62.1567923717089')
('Lavonna  ', '85.5098041493159')
